list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
325,2023-04-01,Pratah Sankalpa Gadya,Day 26- Pratahsankalpa gadya 1st April -  2023,H_ukTfc1Rb4,https://www.youtube.com/watch?v=H_ukTfc1Rb4,69.5,243,videos,110
328,2023-03-25,Pratah Sankalpa Gadya,Day 25- Pratahsankalpa gadya 25th March-  2023,ueIaNSilNPY,https://www.youtube.com/watch?v=ueIaNSilNPY,37.1,126,videos,111
329,2023-03-18,Pratah Sankalpa Gadya,Day 24- Pratahsankalpa gadya - 18th Mar 2023,LPJn6dci1dw,https://www.youtube.com/watch?v=LPJn6dci1dw,51.2,147,videos,112
330,2023-03-11,Pratah Sankalpa Gadya,pratah Sankalpa Gadya Day 23 - 11th Mar,LMnMCK6gmSA,https://www.youtube.com/watch?v=LMnMCK6gmSA,43.3,142,streams,218
331,2023-02-18,Pratah Sankalpa Gadya,Day 21 -Prathah Sankalpa Gadya -  Feb 18th,W8Aet_VOFPY,https://www.youtube.com/watch?v=W8Aet_VOFPY,41.4,143,videos,113
332,2023-03-04,Pratah Sankalpa Gadya,Day 22 Prathah Sankalpa Gadya - - Mar 4th,QC_LPl4-v5k,https://www.youtube.com/watch?v=QC_LPl4-v5k,37.1,120,videos,114
333,2023-02-11,Pratah Sankalpa Gadya,Day 20 - Prathah Sankalpa Gadya -- Feb 11th,fWfbEsh2E2Y,https://www.youtube.com/watch?v=fWfbEsh2E2Y,39.2,113,videos,115
334,2023-02-04,Pratah Sankalpa Gadya,Day 19 - Prathah Sankalpa Gadya - Feb 4th,-2EKSbIhhpg,https://www.youtube.com/watch?v=-2EKSbIhhpg,42.8,107,videos,116
335,2023-01-21,Pratah Sankalpa Gadya,Prathah Sankalpa Gadya - Day 18 - Jan 21st,LAxEZAy-6Tc,https://www.youtube.com/watch?v=LAxEZAy-6Tc,46.4,159,streams,219
338,2023-01-14,Pratah Sankalpa Gadya,Prathah sankalpa Gadya - JAN 14th - Day 17,1yrUce1Zc-I,https://www.youtube.com/watch?v=1yrUce1Zc-I,46.7,168,streams,222
339,2023-01-07,Pratah Sankalpa Gadya,Day16 - Prathah Sankalpa Gadya - Jan7th,oyoAp0PeY2o,https://www.youtube.com/watch?v=oyoAp0PeY2o,43.9,179,videos,117
340,2022-12-31,Pratah Sankalpa Gadya,Day15 - Prathah Sankalpa Gadya - Dec 31st,pPtyXFBMHns,https://www.youtube.com/watch?v=pPtyXFBMHns,35.9,143,videos,118
341,2022-12-24,Pratah Sankalpa Gadya,Pratah Sankalpa Gadya - Day14 - Dec 24th,bult3oFcrjw,https://www.youtube.com/watch?v=bult3oFcrjw,46.2,193,streams,223
342,2022-12-17,Pratah Sankalpa Gadya,Pratah Sankalpa Gadya - Dec17th - Day13,tiYISoHt8w0,https://www.youtube.com/watch?v=tiYISoHt8w0,48.2,160,streams,224
343,2022-12-10,Pratah Sankalpa Gadya,Pratah Sankalpa Gadya - Dec 10th - Day 12,ioSWky5gNgY,https://www.youtube.com/watch?v=ioSWky5gNgY,45.2,206,streams,225
344,2022-12-03,Pratah Sankalpa Gadya,Prathah Sankalpa Gadya - Dec 3rd - Day 11,AwY8EDBUSNE,https://www.youtube.com/watch?v=AwY8EDBUSNE,45.6,192,streams,226
347,2022-11-26,Pratah Sankalpa Gadya,Prathah Sankalpa Gadya - Nov 26th - Day 10,P1h9G4Wh734,https://www.youtube.com/watch?v=P1h9G4Wh734,50.2,230,streams,229
350,2022-11-19,Pratah Sankalpa Gadya,Prathak Sankalpa Gadya - Nov 19th - Day9,xauSaPisqzc,https://www.youtube.com/watch?v=xauSaPisqzc,46.4,217,streams,232
352,2022-11-12,Pratah Sankalpa Gadya,Day 8 - Prathah Sankalpa Gadya - Nov 12th,QsIRAnUITyE,https://www.youtube.com/watch?v=QsIRAnUITyE,44.0,242,videos,119
354,2022-11-05,Pratah Sankalpa Gadya,Prataha Sankalpa Gadya 5th Nov - Day 7,UiA6-CnxJWo,https://www.youtube.com/watch?v=UiA6-CnxJWo,40.1,286,streams,235
357,2022-10-29,Pratah Sankalpa Gadya,Day 6 - Pratah Sankalpa Gadya - October 29th 2022 -,pMfJk7mm6vM,https://www.youtube.com/watch?v=pMfJk7mm6vM,39.8,384,videos,120
362,2022-10-15,Pratah Sankalpa Gadya,Pratah Sankalpa Gadya Day 4 - 15th Oct,geWtLnCFXvo,https://www.youtube.com/watch?v=geWtLnCFXvo,42.0,618,streams,242
365,2022-10-08,Pratah Sankalpa Gadya,Pratah Sankalpa Gadya Day3- 8th Oct,EaTq9lzhTj8,https://www.youtube.com/watch?v=EaTq9lzhTj8,39.8,761,streams,245
366,2022-10-06,Pratah Sankalpa Gadya,Prataha sankalpa Gadya Day2 - 6th Oct 2022,wO_sONZDn3o,https://www.youtube.com/watch?v=wO_sONZDn3o,16.9,788,streams,246
367,2022-10-05,Pratah Sankalpa Gadya,Prataha Sankalpa Gadya - Day1- 5th Oct,mdEw4fcmyWk,https://www.youtube.com/watch?v=mdEw4fcmyWk,25.1,1700,streams,247
